variavel,importancia_media,desvio
media_portugues_2023_publica,0.10881831549646967,0.004330271256856585
uf,0.08557470652495927,0.005461668714076907
taxa_alfabetizacao_2023_publica,0.005012343850293766,0.0013680418704973389
rede,-1.9356700242001423e-05,0.0001645881445855797
meta_alfabetizacao_2024,-0.00011273792771444579,0.0006405959093087363
