modelo,accuracy,precision,recall,f1,roc_auc
HistGradientBoosting,0.6532746285085306,0.6666666666666666,0.7790697674418605,0.7184986595174263,0.6968567156717523
LogisticRegression,0.6461199779856907,0.7299054373522459,0.5983527131782945,0.6576144834930777,0.7044731798992742
RandomForest,0.6399284534947716,0.7149359886201991,0.6087693798449613,0.6575951851367264,0.6895416728385918
