id_municipio,id_uf,meta_alvo,taxa_base,media_portugues_base,gap_base_meta,uf,regiao,prob_risco_abaixo_meta_2025,pred_risco_abaixo_meta_2025,faixa_risco
2506251,25,78.77,70.71,775.66,-8.060000000000002,PB,Nordeste,0.7841569314736583,1,Muito alto
1503457,15,52.44,42.95,724.46,-9.489999999999995,PA,Norte,0.7839696782500534,1,Muito alto
5004007,50,79.23,73.2,758.28,-6.030000000000001,MS,Centro-Oeste,0.7838411717665746,1,Muito alto
2409605,24,54.21,37.5,732.97,-16.71,RN,Nordeste,0.7835987131492765,1,Muito alto
4117057,41,78.22,68.33,749.71,-9.89,PR,Sul,0.7835709150684212,1,Muito alto
2603306,26,64.74,40.68,724.17,-24.059999999999995,PE,Nordeste,0.7831945392704683,1,Muito alto
2209450,22,80.0,78.26,768.4,-1.7399999999999949,PI,Nordeste,0.7826735050514766,1,Muito alto
3533304,35,78.53,73.33,764.67,-5.200000000000003,SP,Sudeste,0.7825844119828911,1,Muito alto
4125605,41,80.0,70.57,754.72,-9.430000000000007,PR,Sul,0.7821158747211482,1,Muito alto
2701100,27,77.5,79.89,765.81,2.3900000000000006,AL,Nordeste,0.782115498387221,1,Muito alto
2201929,22,60.21,35.96,728.57,-24.25,PI,Nordeste,0.78198450559418,1,Muito alto
2407302,24,42.12,22.73,700.6,-19.389999999999997,RN,Nordeste,0.7817380009500957,1,Muito alto
2513356,25,61.59,39.01,737.66,-22.580000000000005,PB,Nordeste,0.7815972708850971,1,Muito alto
1504109,15,62.5,60.05,748.57,-2.450000000000003,PA,Norte,0.7809547934368011,1,Muito alto
2801504,28,40.27,16.16,702.2,-24.110000000000003,SE,Nordeste,0.7806870303434605,1,Muito alto
3507407,35,80.0,70.83,772.2,-9.170000000000002,SP,Sudeste,0.7805548757994071,1,Muito alto
4109302,41,80.0,71.17,754.55,-8.829999999999998,PR,Sul,0.7804631764257457,1,Muito alto
2800407,28,45.65,28.6,712.46,-17.049999999999997,SE,Nordeste,0.7800695784320307,1,Muito alto
1504901,15,49.76,33.63,722.43,-16.129999999999995,PA,Norte,0.779868916816416,1,Muito alto
3525805,35,70.98,55.26,751.42,-15.720000000000006,SP,Sudeste,0.7793527841922336,1,Muito alto
1505106,15,58.97,53.98,740.62,-4.990000000000002,PA,Norte,0.7792957547676248,1,Muito alto
3556404,35,72.78,61.51,753.3,-11.270000000000003,SP,Sudeste,0.7790917387844011,1,Muito alto
3305158,33,74.08,76.78,757.43,2.700000000000003,RJ,Sudeste,0.7786950807192371,1,Muito alto
2512705,25,65.68,49.27,745.35,-16.410000000000004,PB,Nordeste,0.7782055070827851,1,Muito alto
4103040,41,76.36,60.49,749.77,-15.869999999999997,PR,Sul,0.7780849956323668,1,Muito alto
2401651,24,69.81,60.0,773.52,-9.810000000000002,RN,Nordeste,0.7779583265004687,1,Muito alto
5106315,51,73.96,58.27,748.68,-15.68999999999999,MT,Centro-Oeste,0.7775480348231221,1,Muito alto
3303005,33,71.51,69.51,753.78,-2.0,RJ,Sudeste,0.7774452214384107,1,Muito alto
4100459,41,79.35,74.47,750.25,-4.8799999999999955,PR,Sul,0.7773592129436079,1,Muito alto
1505403,15,58.75,56.24,738.47,-2.509999999999998,PA,Norte,0.7772829735859557,1,Muito alto
1503705,15,54.62,44.08,732.64,-10.54,PA,Norte,0.7771989216643627,1,Muito alto
3556602,35,68.3,50.96,745.32,-17.339999999999996,SP,Sudeste,0.7770893118460539,1,Muito alto
4102901,41,80.0,70.06,755.95,-9.939999999999998,PR,Sul,0.7770576143322097,1,Muito alto
1503507,15,56.48,49.64,735.27,-6.839999999999996,PA,Norte,0.7768346606169897,1,Muito alto
3304524,33,70.35,68.67,750.37,-1.6799999999999926,RJ,Sudeste,0.7764968847402121,1,Muito alto
