id_municipio,id_uf,uf,regiao,taxa_base,media_portugues_base,meta_alvo,gap_base_meta,prob_risco_abaixo_meta_2025,cluster,perfil_cluster
3166303,31,MG,Sudeste,84.85,771.34,72.16,12.689999999999998,0.18255934902807794,1,Melhor desempenho / menor risco
5209200,52,GO,Centro-Oeste,70.28,755.23,69.27,1.0100000000000051,0.18241006220975714,3,Desempenho favorável
5220603,52,GO,Centro-Oeste,91.2,778.4,80.0,11.200000000000003,0.18238818711934396,1,Melhor desempenho / menor risco
3131158,31,MG,Sudeste,77.71,763.38,68.46,9.25,0.18212799503690244,1,Melhor desempenho / menor risco
2500700,25,PB,Nordeste,72.85,765.63,54.19,18.659999999999997,0.18210162934853635,3,Desempenho favorável
2202752,22,PI,Nordeste,89.29,778.12,62.78,26.510000000000005,0.18195529823499207,1,Melhor desempenho / menor risco
3114550,31,MG,Sudeste,64.51,747.38,61.28,3.230000000000004,0.1816179921236631,3,Desempenho favorável
5106208,51,MT,Centro-Oeste,81.37,773.41,63.6,17.770000000000003,0.18151779254561776,1,Melhor desempenho / menor risco
2308302,23,CE,Nordeste,79.33,779.58,76.7,2.6299999999999955,0.18147492247630254,1,Melhor desempenho / menor risco
3117009,31,MG,Sudeste,68.38,759.25,65.35,3.030000000000001,0.1813997634046052,3,Desempenho favorável
2303600,23,CE,Nordeste,81.25,788.16,79.46,1.7900000000000063,0.1813078855160035,1,Melhor desempenho / menor risco
3127800,31,MG,Sudeste,86.04,778.02,74.18,11.86,0.1812006818562605,1,Melhor desempenho / menor risco
3123205,31,MG,Sudeste,85.44,764.55,70.33,15.11,0.18116088029547991,1,Melhor desempenho / menor risco
3145901,31,MG,Sudeste,81.33,766.63,70.05,11.280000000000001,0.18106484101115067,1,Melhor desempenho / menor risco
3134004,31,MG,Sudeste,64.84,747.49,61.32,3.520000000000003,0.1805266398056244,3,Desempenho favorável
2310001,23,CE,Nordeste,74.59,771.72,73.49,1.1000000000000085,0.1804154096456994,1,Melhor desempenho / menor risco
4206751,42,SC,Sul,96.17,777.17,70.21,25.960000000000008,0.18037432547359245,1,Melhor desempenho / menor risco
5219258,52,GO,Centro-Oeste,92.78,769.69,77.81,14.969999999999999,0.180360516246749,1,Melhor desempenho / menor risco
5211909,52,GO,Centro-Oeste,69.92,755.5,69.15,0.769999999999996,0.1801711450147389,3,Desempenho favorável
2303204,23,CE,Nordeste,82.61,789.33,80.0,2.6099999999999994,0.18010640691648183,1,Melhor desempenho / menor risco
3148103,31,MG,Sudeste,76.21,762.24,67.71,8.5,0.17980890451534667,1,Melhor desempenho / menor risco
3127370,31,MG,Sudeste,91.43,765.09,71.64,19.790000000000006,0.17971548408215757,1,Melhor desempenho / menor risco
3110707,31,MG,Sudeste,85.08,773.64,72.66,12.420000000000002,0.17914979484503585,1,Melhor desempenho / menor risco
3120201,31,MG,Sudeste,86.07,768.02,71.31,14.759999999999991,0.17913031482778746,1,Melhor desempenho / menor risco
5103353,51,MT,Centro-Oeste,54.24,742.53,49.32,4.920000000000002,0.1790456533969611,3,Desempenho favorável
2503100,25,PB,Nordeste,89.73,800.17,67.06,22.67,0.1789634513830544,1,Melhor desempenho / menor risco
5222005,52,GO,Centro-Oeste,89.5,780.45,80.0,9.5,0.1783953528549146,1,Melhor desempenho / menor risco
5204508,52,GO,Centro-Oeste,62.94,748.71,65.72,-2.780000000000001,0.17814869231685704,3,Desempenho favorável
5220405,52,GO,Centro-Oeste,82.29,767.83,75.0,7.290000000000006,0.1780219375556127,1,Melhor desempenho / menor risco
5200829,52,GO,Centro-Oeste,89.83,780.31,80.0,9.829999999999998,0.17785276172997766,1,Melhor desempenho / menor risco
2206951,22,PI,Nordeste,82.08,769.75,58.73,23.35,0.17741915924451782,1,Melhor desempenho / menor risco
5216403,52,GO,Centro-Oeste,67.88,752.46,67.71,0.1700000000000017,0.1768994882290854,3,Desempenho favorável
3124500,31,MG,Sudeste,91.03,777.35,74.78,16.25,0.17665435453238923,1,Melhor desempenho / menor risco
3151909,31,MG,Sudeste,95.65,792.8,80.0,15.650000000000006,0.17653604596776504,1,Melhor desempenho / menor risco
2300150,23,CE,Nordeste,81.21,786.34,78.68,2.529999999999987,0.17635828616419538,1,Melhor desempenho / menor risco
3145109,31,MG,Sudeste,86.57,773.09,72.66,13.909999999999997,0.17628798492980458,1,Melhor desempenho / menor risco
2502052,25,PB,Nordeste,93.94,798.87,67.42,26.519999999999996,0.17619324946081835,1,Melhor desempenho / menor risco
3200300,32,ES,Sudeste,87.55,775.8,76.17,11.379999999999995,0.176124520658658,1,Melhor desempenho / menor risco
3147956,31,MG,Sudeste,97.25,783.86,77.83,19.42,0.17600082460477232,1,Melhor desempenho / menor risco
3160702,31,MG,Sudeste,69.94,753.6,63.81,6.1299999999999955,0.1758647109564212,3,Desempenho favorável
1720309,17,TO,Norte,58.96,745.66,41.81,17.15,0.17585819823846677,3,Desempenho favorável
3156908,31,MG,Sudeste,79.62,765.72,69.15,10.469999999999999,0.1756429398165458,1,Melhor desempenho / menor risco
2206506,22,PI,Nordeste,97.7,835.49,80.0,17.700000000000003,0.17498251281401567,1,Melhor desempenho / menor risco
