regiao,municipios,prob_risco_media,percentual_predito_abaixo_meta,taxa_base_media,meta_2025_media
Centro-Oeste,464,0.2965798745453297,16.810344827586206,72.34381465517241,68.34176724137932
Nordeste,1756,0.5751086098095235,60.250569476082006,56.57114464692483,59.88838838268792
Norte,425,0.6514526148269094,76.23529411764706,49.50922352941177,55.51312941176471
Sudeste,1614,0.3870444675166575,35.00619578686493,70.06803593556381,67.31029120198265
Sul,1093,0.7186305008166719,81.06129917657823,64.37487648673377,73.27271729185728
