regiao,municipios,percentual_abaixo_meta_2024,taxa_2023_media,meta_2024_media
Centro-Oeste,461,26.89804772234273,64.53242950108461,65.6253579175705
Nordeste,1738,49.884925201380895,53.55581703107019,55.6717663981588
Norte,389,56.29820051413882,46.12544987146529,50.95493573264782
Sudeste,1590,33.77358490566038,62.14923899371069,64.23149685534591
Sul,1054,66.12903225806451,72.92257115749526,72.31267552182163
