,precision,recall,f1-score,support
0,0.6242197253433208,0.47770700636942676,0.5412231643514342,3140.0
1,0.6628982528263104,0.78125,0.7172245079506283,4128.0
accuracy,0.6501100715465052,0.6501100715465052,0.6501100715465052,0.6501100715465052
macro avg,0.6435589890848157,0.6294785031847134,0.6292238361510313,7268.0
weighted avg,0.6461879368801646,0.6501100715465052,0.641186503148555,7268.0
